Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-12-11,Safety Not Guaranteed,2012,https://boxd.it/TBvkv,4.5,,,2019-12-10
2019-12-12,Knives Out,2019,https://boxd.it/THtvt,5,,,2019-12-12
2020-01-14,Ready or Not,2019,https://boxd.it/WAAtd,2.5,,,2020-01-13
2020-01-14,Blockers,2018,https://boxd.it/WABVR,4.5,,,2020-01-13
2020-01-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/Xsc3j,2,,,2020-01-23
2020-02-12,The Lighthouse,2019,https://boxd.it/Z7Erz,4.5,,,2020-02-11
2020-02-26,Parasite,2019,https://boxd.it/10nesd,5,,,2020-02-25
2020-02-26,Booksmart,2019,https://boxd.it/10nfiD,5,,,2020-02-25
2020-04-03,The Peanut Butter Falcon,2019,https://boxd.it/13PYQj,4.5,,,2020-04-02
2020-04-03,Uncut Gems,2019,https://boxd.it/13TJ7L,4.5,,,2020-04-03
2020-04-03,Rebooted,2019,https://boxd.it/13TOjn,5,,,2020-04-03
2020-04-08,Silver Linings Playbook,2012,https://boxd.it/14sUP5,5,,,2020-04-07
2020-04-11,Superbad,2007,https://boxd.it/14M6cR,3,,,2020-04-10
2020-04-27,The Edge of Seventeen,2016,https://boxd.it/16Ry6Z,2.5,,,2020-04-26
2020-05-13,Carrie,1976,https://boxd.it/18Q2XD,5,,,2020-05-12
2020-08-22,Train to Busan,2016,https://boxd.it/1jwzbL,4.5,,,2020-08-22
2020-09-23,Do the Right Thing,1989,https://boxd.it/1mQWqr,5,,,2020-09-22
2020-12-12,"Two Cars, One Night",2003,https://boxd.it/1vrC3t,5,,,2020-12-11
2021-09-10,Bruce Almighty,2003,https://boxd.it/282bP7,1,,,2021-09-10
2022-02-01,Encanto,2021,https://boxd.it/2xr91f,0.5,,,2022-01-31
2022-02-12,Con Air,1997,https://boxd.it/2zoWYn,5,,,2022-02-11
2022-05-20,Everything Everywhere All at Once,2022,https://boxd.it/2QYjaX,5,,,2022-05-19
2022-06-24,Broker,2022,https://boxd.it/2XrVbB,3.5,,,2022-06-24
2022-07-24,The Worst Person in the World,2021,https://boxd.it/33d1x3,5,,,2022-07-23
2022-08-05,Kimi,2022,https://boxd.it/360X6Z,2.5,,,2022-08-04
2022-08-17,Last Night in Soho,2021,https://boxd.it/38A5Z7,3,,,2022-08-17
2022-09-02,Nope,2022,https://boxd.it/3bBQbd,4.5,,,2022-09-01
2022-09-02,Nope,2022,https://boxd.it/3bBQvn,4.5,Yes,,2022-09-01
2022-09-30,Don't Worry Darling,2022,https://boxd.it/3gT6C9,3.5,,,2022-09-29
2022-09-30,Don't Worry Darling,2022,https://boxd.it/3gT6MX,3.5,Yes,,2022-09-29
2022-10-10,See How They Run,2022,https://boxd.it/3j1MZX,5,,,2022-10-09
2022-12-07,The Menu,2022,https://boxd.it/3vklvH,3,,,2022-12-06
2022-12-09,Black Panther: Wakanda Forever,2022,https://boxd.it/3vHmfL,3,,,2022-12-08
2022-12-29,Glass Onion,2022,https://boxd.it/3BbAcB,1.5,,,2022-12-29
2023-01-30,Orphan,2009,https://boxd.it/3MxT2X,5,,,2023-01-29
2023-02-04,The Banshees of Inisherin,2022,https://boxd.it/3NYNwl,4.5,,,2023-02-03
2023-02-24,Cocaine Bear,2023,https://boxd.it/3TFyUt,4.5,,,2023-02-23
2023-02-24,The Truman Show,1998,https://boxd.it/3TFAA1,4.5,,,2023-02-23
2023-05-11,Renfield,2023,https://boxd.it/4eqYOb,2,,,2023-05-10
2023-07-25,Persona,1966,https://boxd.it/4zN6ar,5,,,2023-07-24
2024-01-28,Sick of Myself,2022,https://boxd.it/5HErWN,3.5,,,2024-01-28
2024-01-28,Anyone But You,2023,https://boxd.it/5HEtCl,3,,,2024-01-28
2024-02-23,How to Have Sex,2023,https://boxd.it/5TFoy9,5,,,2024-02-23
2024-03-01,Poor Things,2023,https://boxd.it/5Wvcib,5,,,2024-02-29
2024-06-10,Beetlejuice,1988,https://boxd.it/6DYgjd,5,,,2024-06-09
2024-09-11,Bodies Bodies Bodies,2022,https://boxd.it/7j3EvB,5,,,2024-09-11
2025-11-25,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/bPjnED,,,,2024-11-24
2024-11-30,Society of the Snow,2023,https://boxd.it/7VAHjr,5,,,2024-11-29
2024-12-13,She's Gotta Have It,1986,https://boxd.it/82dGqt,5,,,2024-12-13
2025-11-25,Nosferatu,2024,https://boxd.it/bPjm2N,4.5,,,2025-01-24
2025-03-22,Mickey 17,2025,https://boxd.it/9bHgCn,4.5,,,2025-03-21
2025-04-20,Please Don't Destroy: The Treasure of Foggy Mountain,2023,https://boxd.it/9sU3JJ,4.5,,,2025-04-20
2025-11-25,A Real Pain,2024,https://boxd.it/bPiP4V,5,,,2025-04-24
2025-11-25,Sinners,2025,https://boxd.it/bPjjFx,4.5,,,2025-07-24
2025-08-15,Chime,2024,https://boxd.it/aJsj85,3,,,2025-08-14
2025-08-27,The Terminator,1984,https://boxd.it/aS0Kpn,4,,,2025-08-26
2025-08-27,Terminator 2: Judgment Day,1991,https://boxd.it/aS0KHV,4.5,,,2025-08-26
2025-08-29,Weapons,2025,https://boxd.it/aTfZtD,4.5,,,2025-08-28
2025-09-12,28 Years Later,2025,https://boxd.it/b2p6op,4.5,,,2025-09-09
2025-09-12,The Truman Show,1998,https://boxd.it/b2p5Vn,4.5,Yes,,2025-09-10
2025-09-20,Fallen Angels,1995,https://boxd.it/b75ziF,4.5,,,2025-09-19
2025-09-27,Until Dawn,2025,https://boxd.it/bbLY31,3.5,,,2025-09-23
2025-09-27,Together,2025,https://boxd.it/bbLXH5,3.5,,,2025-09-27
2025-11-25,Weapons,2025,https://boxd.it/bPjfVV,4.5,Yes,,2025-10-24
2025-11-25,Superman,2025,https://boxd.it/bPjkIH,2.5,,,2025-11-04
2025-11-25,The Naked Gun,2025,https://boxd.it/bPjoxN,1,,,2025-11-15
2025-11-25,Frankenstein,2025,https://boxd.it/bPjfex,4,,,2025-11-19
2025-11-25,The Fantastic 4: First Steps,2025,https://boxd.it/bPjhZl,3,,,2025-11-24
2025-11-26,Idiocracy,2006,https://boxd.it/bPYyFf,3,,,2025-11-25
2025-11-30,Bugonia,2025,https://boxd.it/bT2Eyz,5,,,2025-11-30
2025-12-03,Inside Out 2,2024,https://boxd.it/bUCedB,3,,,2025-12-02
2025-12-14,Wake Up Dead Man,2025,https://boxd.it/c1XWEV,2.5,,,2025-12-13
2025-12-18,Toy Story,1995,https://boxd.it/c5AIP1,5,,,2025-12-17
2025-12-25,Tinsel Town,2025,https://boxd.it/cdLf4z,3,,,2025-12-25
2025-12-28,Crazy Rich Asians,2018,https://boxd.it/cgorLh,3,,,2025-12-27
2026-01-01,Friendship,2024,https://boxd.it/clq3yn,4,,,2025-12-31
2026-02-09,Sinners,2025,https://boxd.it/d2PUl9,4.5,Yes,,2026-02-07
2026-02-09,Gerald's Game,2017,https://boxd.it/d2PKuF,4,,,2026-02-08
